epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1043,2.22221,4.18402,1.73415,0.30314,0.31462,0.22951,0.12501,1.90602,17.9904,1.47793,0.00013328,0.00013328,0.00013328
2,32.5239,1.36227,1.70859,1.14158,0.41467,0.48739,0.50708,0.28737,1.56925,3.99621,1.22817,0.000270354,0.000270354,0.000270354
3,39.2822,1.26584,1.29346,1.08704,0.48765,0.50858,0.51931,0.26891,1.63839,2.81146,1.25562,0.000402755,0.000402755,0.000402755
4,46.2657,1.25686,1.09944,1.08164,0.56401,0.55922,0.63485,0.34814,1.59097,2.07799,1.22958,0.000530484,0.000530484,0.000530484
5,53.0992,1.26378,0.96794,1.10486,0.53979,0.46053,0.5558,0.31458,1.60339,2.2334,1.27631,0.000653538,0.000653538,0.000653538
6,60.0344,1.29333,0.94306,1.11624,0.66926,0.48934,0.5269,0.26061,1.55946,2.08977,1.3403,0.000764278,0.000764278,0.000764278
7,66.6604,1.30118,0.91832,1.11988,0.66662,0.71438,0.77165,0.34177,1.93353,1.63472,1.43253,0.000750533,0.000750533,0.000750533
8,73.7018,1.24229,0.84255,1.11817,0.74443,0.54432,0.66761,0.32418,1.72454,1.80525,1.29073,0.000736788,0.000736788,0.000736788
9,80.2543,1.20904,0.79886,1.08719,0.73984,0.6227,0.72193,0.34843,1.7348,1.61926,1.28831,0.000723044,0.000723044,0.000723044
10,87.6175,1.19644,0.7729,1.07087,0.65755,0.56272,0.58191,0.29868,1.60345,1.46493,1.31316,0.000709299,0.000709299,0.000709299
11,94.4794,1.18305,0.73634,1.06894,0.73019,0.60534,0.68305,0.37278,1.56242,1.35065,1.23988,0.000695555,0.000695555,0.000695555
12,101.646,1.21318,0.74254,1.08722,0.79199,0.58277,0.67895,0.36476,1.5075,1.47851,1.21951,0.00068181,0.00068181,0.00068181
13,108.806,1.16117,0.71673,1.06995,0.71565,0.72604,0.75424,0.41865,1.49566,1.26609,1.20952,0.000668066,0.000668066,0.000668066
14,115.679,1.11645,0.68995,1.04961,0.76941,0.71744,0.79139,0.4456,1.45139,1.23666,1.22979,0.000654321,0.000654321,0.000654321
15,122.709,1.09017,0.66014,1.04679,0.73542,0.75681,0.82999,0.46543,1.42793,1.16344,1.18999,0.000640577,0.000640577,0.000640577
16,129.697,1.09523,0.64112,1.03569,0.74904,0.75731,0.82454,0.43689,1.48473,1.12379,1.21938,0.000626832,0.000626832,0.000626832
17,136.655,1.11511,0.65476,1.04776,0.74251,0.78762,0.81931,0.4666,1.40201,1.08316,1.20747,0.000613088,0.000613088,0.000613088
18,143.564,1.09213,0.65223,1.03884,0.79535,0.78477,0.84239,0.45695,1.41528,1.01956,1.2115,0.000599343,0.000599343,0.000599343
19,150.62,1.04703,0.61481,1.03076,0.87263,0.63846,0.7932,0.46545,1.39781,1.10911,1.19212,0.000585599,0.000585599,0.000585599
20,157.113,1.04934,0.60983,1.02214,0.79267,0.75496,0.83578,0.45819,1.54867,1.14448,1.25009,0.000571854,0.000571854,0.000571854
21,163.993,1.07221,0.59842,1.03004,0.87394,0.6987,0.8375,0.4774,1.47843,1.19169,1.209,0.00055811,0.00055811,0.00055811
22,171.07,1.03581,0.57984,1.01969,0.81349,0.74976,0.84921,0.47248,1.45405,1.07518,1.20462,0.000544365,0.000544365,0.000544365
23,177.885,1.03449,0.57403,1.01291,0.88478,0.71978,0.82746,0.4817,1.38043,1.17809,1.18609,0.000530621,0.000530621,0.000530621
24,185.508,0.94986,0.5452,0.99973,0.87423,0.70308,0.8222,0.48895,1.47405,1.19564,1.20614,0.000516877,0.000516877,0.000516877
25,192.165,1.03161,0.5701,1.01859,0.82615,0.70209,0.7974,0.46744,1.416,1.19221,1.20025,0.000503132,0.000503132,0.000503132
26,199.411,0.99794,0.55402,1.00329,0.83302,0.75253,0.83724,0.49678,1.37187,1.07114,1.16542,0.000489387,0.000489387,0.000489387
27,206.198,1.02597,0.57365,1.01558,0.86919,0.71052,0.84155,0.46685,1.43778,1.03668,1.20805,0.000475643,0.000475643,0.000475643
28,213.245,0.95904,0.54825,0.98764,0.90209,0.66445,0.82,0.48622,1.41244,1.08299,1.18193,0.000461898,0.000461898,0.000461898
29,219.9,0.95589,0.5302,0.99329,0.87454,0.50296,0.65071,0.36153,1.45994,1.6073,1.231,0.000448154,0.000448154,0.000448154
30,226.918,0.98437,0.54087,1.00589,0.91999,0.68243,0.83712,0.49864,1.39711,1.08591,1.18921,0.000434409,0.000434409,0.000434409
31,233.614,0.93263,0.5201,0.98321,0.81253,0.79967,0.86645,0.50441,1.51817,1.10647,1.21094,0.000420665,0.000420665,0.000420665
32,240.541,0.98055,0.52932,1.00231,0.74331,0.79594,0.85703,0.50654,1.44192,1.01768,1.17375,0.00040692,0.00040692,0.00040692
33,247.422,0.89741,0.50895,0.96523,0.82337,0.73703,0.84246,0.51746,1.38102,1.0988,1.1516,0.000393176,0.000393176,0.000393176
34,254.282,0.92768,0.50622,0.98314,0.86178,0.8343,0.92,0.53792,1.37393,0.86783,1.16467,0.000379431,0.000379431,0.000379431
35,261.429,0.86029,0.48382,0.95807,0.853,0.80854,0.89923,0.49835,1.4661,0.88056,1.19848,0.000365687,0.000365687,0.000365687
36,268.685,0.90531,0.50637,0.96661,0.83404,0.78735,0.87077,0.50428,1.39216,0.92248,1.1969,0.000351942,0.000351942,0.000351942
37,275.456,0.95181,0.50478,0.98802,0.80136,0.80109,0.87084,0.49781,1.47184,0.97059,1.17615,0.000338198,0.000338198,0.000338198
38,282.215,0.94697,0.49723,0.97626,0.77622,0.75589,0.82369,0.4602,1.45784,0.99745,1.22361,0.000324453,0.000324453,0.000324453
39,289.256,0.95651,0.51478,0.98618,0.84899,0.73826,0.8431,0.50783,1.3944,0.99845,1.17221,0.000310709,0.000310709,0.000310709
40,296.044,0.89843,0.48723,0.96547,0.84389,0.7789,0.8837,0.53171,1.33206,0.88096,1.15579,0.000296964,0.000296964,0.000296964
41,303.03,0.86238,0.46639,0.96358,0.85324,0.82896,0.91318,0.55607,1.33374,0.82769,1.14972,0.00028322,0.00028322,0.00028322
42,309.71,0.85946,0.4699,0.9618,0.86371,0.84823,0.92305,0.55694,1.34212,0.81141,1.15058,0.000269475,0.000269475,0.000269475
43,316.668,0.83009,0.45658,0.94302,0.84751,0.80076,0.89514,0.54253,1.34608,0.88217,1.15181,0.000255731,0.000255731,0.000255731
44,323.628,0.83234,0.45728,0.95676,0.84317,0.77575,0.87475,0.53492,1.30499,0.92155,1.14823,0.000241986,0.000241986,0.000241986
45,330.446,0.81201,0.45472,0.95146,0.82491,0.79418,0.86713,0.5222,1.32631,0.87362,1.16571,0.000228242,0.000228242,0.000228242
46,337.25,0.84059,0.44986,0.9513,0.80854,0.81072,0.86813,0.50479,1.35308,0.86715,1.17699,0.000214497,0.000214497,0.000214497
47,344.464,0.81422,0.44741,0.94871,0.86245,0.78711,0.88251,0.52506,1.31332,0.88961,1.15806,0.000200753,0.000200753,0.000200753
48,351.126,0.81264,0.44509,0.94515,0.87257,0.75873,0.86733,0.5255,1.30977,0.95418,1.15433,0.000187008,0.000187008,0.000187008
49,358.249,0.83701,0.4419,0.94905,0.85305,0.79013,0.88406,0.53799,1.30445,0.91679,1.14337,0.000173264,0.000173264,0.000173264
50,364.71,0.81924,0.44026,0.94596,0.85843,0.79332,0.87526,0.52011,1.33425,0.94099,1.16753,0.00015952,0.00015952,0.00015952
51,373.348,0.72641,0.37299,0.89496,0.89074,0.7856,0.87382,0.53767,1.33146,0.93549,1.14933,0.000145775,0.000145775,0.000145775
52,379.868,0.70579,0.36161,0.8804,0.88966,0.74308,0.86766,0.53388,1.29398,0.9357,1.1436,0.000132031,0.000132031,0.000132031
53,385.833,0.71156,0.36578,0.89027,0.85951,0.74934,0.85928,0.52927,1.29022,0.94624,1.14204,0.000118286,0.000118286,0.000118286
54,392.163,0.68447,0.3601,0.88083,0.87708,0.76297,0.85878,0.52047,1.31031,0.96399,1.15034,0.000104542,0.000104542,0.000104542
55,398.166,0.67399,0.35147,0.88704,0.91242,0.75772,0.85863,0.51795,1.30959,0.93024,1.16026,9.0797e-05,9.0797e-05,9.0797e-05
