epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2078,2.21069,4.16693,1.58972,0.26707,0.34765,0.28759,0.12793,1.8621,14.0661,1.40411,0.00013328,0.00013328,0.00013328
2,32.4813,1.345,1.77401,1.08308,0.37436,0.39809,0.38744,0.21374,1.45834,4.50574,1.20975,0.000270354,0.000270354,0.000270354
3,39.9108,1.22322,1.27176,1.0407,0.52239,0.50812,0.52477,0.29155,1.45479,2.45311,1.18641,0.000402755,0.000402755,0.000402755
4,46.4044,1.18047,1.0369,1.02623,0.46199,0.57162,0.55101,0.3161,1.48083,2.01192,1.1794,0.000530484,0.000530484,0.000530484
5,53.5221,1.20739,0.93537,1.02809,0.5618,0.59739,0.58841,0.31969,1.44279,1.88502,1.21145,0.000653538,0.000653538,0.000653538
6,60.3123,1.19877,0.89701,1.0308,0.53124,0.53138,0.56289,0.28298,1.59518,2.09088,1.2712,0.000764278,0.000764278,0.000764278
7,67.0209,1.17332,0.83195,1.01919,0.6543,0.72215,0.79673,0.47526,1.35539,1.38602,1.13984,0.000750533,0.000750533,0.000750533
8,73.9574,1.12814,0.79992,1.01341,0.72811,0.66358,0.73021,0.43102,1.42709,1.53936,1.179,0.000736788,0.000736788,0.000736788
9,80.8082,1.09987,0.75398,1.00799,0.78009,0.60184,0.64647,0.34803,1.49481,1.48857,1.23987,0.000723044,0.000723044,0.000723044
10,87.5744,1.12284,0.73193,1.01349,0.72308,0.67484,0.77002,0.43721,1.35958,1.25977,1.16933,0.000709299,0.000709299,0.000709299
11,94.3717,1.10674,0.71642,1.00971,0.78647,0.75673,0.86234,0.48196,1.4214,1.10242,1.17171,0.000695555,0.000695555,0.000695555
12,100.991,1.08834,0.69462,1.00694,0.81212,0.69974,0.81445,0.47534,1.34133,1.09633,1.13063,0.00068181,0.00068181,0.00068181
13,108.043,1.03003,0.6553,0.98121,0.82887,0.78619,0.88441,0.55495,1.33232,0.98495,1.12738,0.000668066,0.000668066,0.000668066
14,115.462,1.04091,0.66539,0.98986,0.87533,0.78663,0.88417,0.54299,1.38056,1.14235,1.16346,0.000654321,0.000654321,0.000654321
