epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.48354,2.27133,4.31464,1.6265,0.18197,0.29748,0.22045,0.13087,1.86888,8.89372,1.40746,0.00013328,0.00013328,0.00013328
2,16.2777,1.37953,1.80461,1.11285,0.42987,0.34955,0.352,0.1955,1.61267,3.60507,1.28975,0.000270354,0.000270354,0.000270354
3,23.3971,1.23927,1.35606,1.04823,0.39404,0.57119,0.50521,0.2841,1.54111,2.6434,1.20807,0.000402755,0.000402755,0.000402755
4,30.5147,1.19795,1.12284,1.03482,0.59269,0.59039,0.64549,0.36697,1.54934,2.16463,1.22326,0.000530484,0.000530484,0.000530484
5,37.1563,1.18182,0.99898,1.02771,0.62348,0.61045,0.66334,0.36216,1.47297,1.95345,1.17749,0.000653538,0.000653538,0.000653538
6,44.2945,1.2082,0.99236,1.04344,0.60162,0.39971,0.46887,0.24473,1.61269,2.09903,1.25137,0.000764278,0.000764278,0.000764278
7,50.9929,1.1544,0.91021,1.02852,0.58188,0.58335,0.65203,0.36791,1.49824,1.79487,1.21927,0.000750533,0.000750533,0.000750533
8,57.7369,1.11231,0.83931,1.02005,0.60432,0.5986,0.65207,0.37393,1.47969,1.548,1.2045,0.000736788,0.000736788,0.000736788
9,64.5187,1.1391,0.82371,1.03456,0.58956,0.60224,0.6136,0.34685,1.45598,1.62519,1.21023,0.000723044,0.000723044,0.000723044
10,71.1172,1.139,0.80509,1.03407,0.6718,0.62151,0.71064,0.39985,1.43974,1.48589,1.19962,0.000709299,0.000709299,0.000709299
11,77.8465,1.11457,0.76566,1.02068,0.68818,0.69524,0.74325,0.42589,1.45147,1.48097,1.21276,0.000695555,0.000695555,0.000695555
12,84.6511,1.0954,0.73633,1.00919,0.70215,0.67507,0.73139,0.41278,1.39391,1.32729,1.18908,0.00068181,0.00068181,0.00068181
13,90.8089,1.03395,0.69396,0.99229,0.74213,0.62374,0.69937,0.40659,1.40093,1.55218,1.192,0.000668066,0.000668066,0.000668066
14,97.7555,1.06389,0.70832,1.00144,0.68804,0.52294,0.61364,0.3459,1.44276,1.77958,1.20754,0.000654321,0.000654321,0.000654321
