epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.12262,2.46391,6.0405,1.85405,0.19946,0.22437,0.12368,0.0598,1.98892,16.38,1.43901,0.00013328,0.00013328,0.00013328
2,15.3383,1.40117,1.82184,1.19796,0.25076,0.42026,0.27337,0.13756,1.76737,5.44013,1.30055,0.000270354,0.000270354,0.000270354
3,22.5106,1.29026,1.3272,1.12649,0.52537,0.52059,0.50737,0.25859,1.80372,2.88194,1.33453,0.000402755,0.000402755,0.000402755
4,29.5584,1.24276,1.06823,1.09915,0.57614,0.51515,0.53995,0.2909,1.64748,2.22344,1.23427,0.000530484,0.000530484,0.000530484
5,36.3527,1.20039,0.95626,1.09172,0.70856,0.58262,0.62927,0.30859,1.66988,1.80751,1.2701,0.000653538,0.000653538,0.000653538
6,43.4869,1.21776,0.91451,1.0927,0.63975,0.45763,0.52587,0.2641,1.57284,1.92871,1.28771,0.000764278,0.000764278,0.000764278
7,50.5251,1.1914,0.84164,1.08642,0.67757,0.53289,0.64079,0.33656,1.63968,1.83804,1.27166,0.000750533,0.000750533,0.000750533
8,57.3643,1.21793,0.82239,1.10213,0.73433,0.62842,0.71518,0.33913,1.83681,1.61114,1.34022,0.000736788,0.000736788,0.000736788
9,64.5181,1.22528,0.79087,1.0943,0.71462,0.52252,0.57675,0.29496,1.65164,1.63662,1.27643,0.000723044,0.000723044,0.000723044
10,71.3632,1.18555,0.77059,1.07845,0.78174,0.43352,0.54369,0.30032,1.59261,1.66058,1.28075,0.000709299,0.000709299,0.000709299
11,78.0978,1.15467,0.74235,1.07233,0.76078,0.59114,0.68197,0.34805,1.588,1.52024,1.27747,0.000695555,0.000695555,0.000695555
12,84.9425,1.18221,0.7512,1.09033,0.78725,0.62093,0.74322,0.38453,1.63641,1.40917,1.23842,0.00068181,0.00068181,0.00068181
13,92.0661,1.13839,0.71513,1.06968,0.83687,0.60989,0.71258,0.37136,1.58987,1.52883,1.24168,0.000668066,0.000668066,0.000668066
14,98.8057,1.09506,0.66829,1.04798,0.85574,0.71882,0.81887,0.46344,1.45543,1.21894,1.18724,0.000654321,0.000654321,0.000654321
15,106.143,1.06688,0.64026,1.03628,0.80456,0.55257,0.68645,0.39163,1.44098,1.45489,1.1945,0.000640577,0.000640577,0.000640577
16,113.084,1.05176,0.61737,1.0255,0.78477,0.47262,0.57419,0.32394,1.49477,1.6346,1.21986,0.000626832,0.000626832,0.000626832
17,120.071,1.07842,0.62369,1.03708,0.75567,0.57278,0.60754,0.33962,1.50777,1.43297,1.24176,0.000613088,0.000613088,0.000613088
18,126.587,1.0561,0.62335,1.03226,0.87487,0.52285,0.62799,0.36581,1.43421,1.53625,1.18605,0.000599343,0.000599343,0.000599343
19,133.388,1.04272,0.60831,1.03262,0.73504,0.57611,0.6468,0.32883,1.59127,1.54258,1.23135,0.000585599,0.000585599,0.000585599
20,140.166,1.04974,0.60212,1.02313,0.84071,0.6736,0.76252,0.42902,1.55834,1.32743,1.19752,0.000571854,0.000571854,0.000571854
21,146.937,1.07555,0.58807,1.03514,0.84438,0.68214,0.80457,0.45077,1.63957,1.24443,1.20376,0.00055811,0.00055811,0.00055811
22,154.114,1.01623,0.56919,1.0158,0.79223,0.67958,0.78998,0.46922,1.45193,1.19686,1.17261,0.000544365,0.000544365,0.000544365
23,161.136,1.01419,0.57174,1.01223,0.81354,0.64776,0.75711,0.46059,1.40508,1.19061,1.17097,0.000530621,0.000530621,0.000530621
24,167.919,0.93932,0.5399,1.00401,0.79054,0.70007,0.78427,0.43104,1.46492,1.14075,1.18728,0.000516877,0.000516877,0.000516877
25,175.062,1.00583,0.56335,1.01801,0.83405,0.65787,0.77556,0.40018,1.53983,1.16642,1.20149,0.000503132,0.000503132,0.000503132
26,181.921,1.00566,0.54988,1.00956,0.76118,0.75963,0.82226,0.43151,1.59944,1.0461,1.2321,0.000489387,0.000489387,0.000489387
27,188.93,1.00255,0.54958,1.01552,0.81143,0.73634,0.81554,0.4545,1.46475,1.07394,1.16977,0.000475643,0.000475643,0.000475643
28,195.776,0.92539,0.51633,0.97798,0.80588,0.73186,0.83176,0.48486,1.51146,1.18002,1.17052,0.000461898,0.000461898,0.000461898
29,202.847,0.92979,0.51699,0.99644,0.87939,0.72933,0.81641,0.47543,1.37887,1.03276,1.16791,0.000448154,0.000448154,0.000448154
30,209.797,0.93729,0.51639,0.99241,0.80601,0.8063,0.86094,0.50406,1.39238,0.91303,1.15353,0.000434409,0.000434409,0.000434409
31,217.23,0.91673,0.49784,0.9803,0.74919,0.7908,0.82006,0.45164,1.46651,0.96942,1.19384,0.000420665,0.000420665,0.000420665
32,224.084,0.95508,0.51716,1.00356,0.84334,0.7009,0.80597,0.47168,1.48583,1.0488,1.17286,0.00040692,0.00040692,0.00040692
33,231.171,0.9044,0.49732,0.97306,0.80615,0.62446,0.73866,0.4525,1.39226,1.20551,1.1509,0.000393176,0.000393176,0.000393176
34,237.898,0.92277,0.50529,0.98834,0.90116,0.58098,0.71491,0.43027,1.38157,1.31368,1.15022,0.000379431,0.000379431,0.000379431
35,244.59,0.846,0.46656,0.9559,0.88614,0.67902,0.78302,0.46396,1.38335,1.22157,1.15106,0.000365687,0.000365687,0.000365687
36,251.662,0.89152,0.48324,0.97066,0.87254,0.74934,0.81177,0.5037,1.31061,1.05506,1.15243,0.000351942,0.000351942,0.000351942
37,258.389,0.90134,0.48162,0.97632,0.80156,0.74832,0.79122,0.47111,1.40248,1.09256,1.15517,0.000338198,0.000338198,0.000338198
38,265.252,0.88201,0.47153,0.97014,0.85672,0.69584,0.79079,0.46514,1.43992,1.1457,1.1535,0.000324453,0.000324453,0.000324453
39,272.084,0.87504,0.46795,0.97252,0.7888,0.72061,0.80622,0.48277,1.41876,1.11658,1.15246,0.000310709,0.000310709,0.000310709
40,279.089,0.89403,0.47345,0.97007,0.87433,0.68112,0.78447,0.45848,1.38001,1.21551,1.14944,0.000296964,0.000296964,0.000296964
41,285.952,0.86852,0.46842,0.96633,0.83896,0.70939,0.78733,0.47304,1.39177,1.17328,1.14205,0.00028322,0.00028322,0.00028322
42,292.664,0.85686,0.45832,0.96409,0.87376,0.64572,0.75652,0.45187,1.41776,1.19736,1.14875,0.000269475,0.000269475,0.000269475
43,299.491,0.82408,0.44987,0.94413,0.86752,0.61572,0.71127,0.43167,1.38215,1.25463,1.13827,0.000255731,0.000255731,0.000255731
44,306.213,0.81767,0.44429,0.95497,0.82678,0.62377,0.69739,0.42767,1.40865,1.25649,1.16201,0.000241986,0.000241986,0.000241986
45,312.949,0.8091,0.436,0.95348,0.82675,0.64381,0.71543,0.43621,1.40717,1.23581,1.15889,0.000228242,0.000228242,0.000228242
46,319.895,0.80702,0.43085,0.95012,0.85508,0.69233,0.75864,0.45679,1.39586,1.14813,1.15869,0.000214497,0.000214497,0.000214497
47,326.744,0.80517,0.4338,0.94651,0.90821,0.64731,0.75563,0.45922,1.37205,1.18837,1.15076,0.000200753,0.000200753,0.000200753
48,333.424,0.80015,0.43067,0.94365,0.85736,0.66766,0.74503,0.45538,1.37071,1.182,1.14947,0.000187008,0.000187008,0.000187008
49,340.475,0.82076,0.43455,0.95031,0.914,0.6341,0.7312,0.44767,1.36519,1.22184,1.1442,0.000173264,0.000173264,0.000173264
50,347.096,0.79432,0.42815,0.94354,0.86054,0.67758,0.73572,0.46095,1.34896,1.21009,1.14265,0.00015952,0.00015952,0.00015952
51,355.648,0.70429,0.36232,0.89124,0.87848,0.68337,0.75136,0.46413,1.36294,1.16181,1.14341,0.000145775,0.000145775,0.000145775
52,361.997,0.72114,0.35559,0.88796,0.87587,0.70431,0.75983,0.47487,1.32901,1.13462,1.13173,0.000132031,0.000132031,0.000132031
53,367.509,0.67986,0.35267,0.88519,0.84769,0.67383,0.74972,0.46784,1.33043,1.14751,1.14441,0.000118286,0.000118286,0.000118286
54,373.861,0.66634,0.34593,0.88237,0.86416,0.70777,0.75945,0.4711,1.34237,1.13448,1.14518,0.000104542,0.000104542,0.000104542
55,379.472,0.6569,0.34174,0.88632,0.87814,0.7019,0.75892,0.4607,1.363,1.16424,1.15341,9.0797e-05,9.0797e-05,9.0797e-05
56,385.824,0.63479,0.33447,0.87144,0.8764,0.70145,0.76718,0.47349,1.36215,1.16516,1.15354,7.70525e-05,7.70525e-05,7.70525e-05
